,Project Evaluation Rubrics,,
Sr No.,Notes,Points,Evidence
1,Video,2,
2,Workload is spread over the whole team,1,https://github.com/TommasU/slash/graphs/contributors
3,"but nevertheless, here is a track record that everyone is contributing a lot)",1,
4,Number of commits,1,https://github.com/TommasU/slash/compare/TommasU:slash:main...SEProjGrp5:slash:main
5,Number of commits: by different people,1,
6,Issues reports: there are many,2,https://github.com/TommasU/slash/issues
7,Issues are being closed,2,https://github.com/TommasU/slash/issues?q=is%3Aissue+is%3Aclosed
8,DOI badge: exists,3,https://github.com/TommasU/slash#readme
9,"Docs: doco generated, format not ugly",3,https://github.com/TommasU/slash#readme
10,Docs: what: point descriptions of each class/function (in isolation),3,https://github.com/TommasU/slash#computer-advanced-wishlists
11,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",3,
12,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush out and use the thing",2,
13,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",3,
14,Use of version control tools,3,
15,Use of style checkers,1,
16,Use of code formatters.,1,
17,Use of code coverage,3,
18,Other automated analysis tools,0,
19,Test cases exist,2,https://github.com/TommasU/slash/tree/main/tests
20,Test cases are routinely executed,2,
21,The files CONTRIBUTING.md lists coding standards and lots of tips on how to extend the system without screwing things up,3,https://github.com/TommasU/slash/blob/main/CONTRIBUTING.md
22,Issues are discussed before they are closed,2,https://github.com/TommasU/slash/issues?q=is%3Aissue+is%3Aclosed
23,Chat channel: exists,0,
24,Test cases: a large proportion of the issues related to handling failing cases.,2,
25,Evidence that the whole team is using the same tools: everyone can get to all tools and files,3,https://github.com/TommasU/slash/graphs/contributors
26,"Evidence that the whole team is using the same tools (e.g. config files in the repo, updated by lots of different people)",3,https://github.com/TommasU/slash/graphs/contributors
27,"Evidence that the whole team is using the same tools (e.g. tutor can ask anyone to share screen, they demonstrate the system running on their computer)",3,
28,Evidence that the members of the team are working across multiple places in the code base,3,
29,Short release cycles,2,https://github.com/TommasU/slash/releases
,,,
,Software Sustainability Evaluation,,
Sr No.,Notes,Yes/No/NA,
1,"Does your website and documentation provide a clear, high-level overview of your software?",Yes,
2,Does your website and documentation clearly describe the type of user who should use your software?,No,
3,Do you publish case studies to show how your software has been used by yourself and others?,Yes,
4,Is the name of your project/software unique?,No,
5,Is your project/software name free from trademark violations?,No,
6,Is your software available as a package that can be deployed without building it?,No,
7,Is your software available for free?,yes,
8,"Is your source code publicly available to download, either as a downloadable bundle or via access to a source code repository?",yes,
9,"Is your software hosted in an established, third-party repository?",yes,
10,Is your documentation clearly available on your website or within your software?,No,
11,"Does your documentation include a ""quick start"" guide, that provides a short overview of how to use your software with some basic examples of use?",Yes,
12,"If you provide more extensive documentation, does this provide clear, step-by-step instructions on how to deploy and use your software?",No,
13,"Do you provide a comprehensive guide to all your software痴 commands, functions and options?",yes,
14,Do you provide troubleshooting information that describes the symptoms and step-by-step solutions for problems and error messages?,No,
15,"If your software can be used as a library, package or service by other software, do you provide comprehensive API documentation?",No,
16,Do you store your documentation under revision control with your source code?,Yes,
17,"Do you publish your release history e.g. release data, version numbers, key features of each release etc. on your web site or in your documentation?",Yes,
18,Does your software describe how a user can get help with using your software?,No,
19,"Does your website and documentation describe what support, if any, you provide to users and developers?",No,
20,Does your project have an e-mail address or forum that is solely for supporting users?,Yes,
21,Are e-mails to your support e-mail address received by more than one person?,N/A,
22,Does your project have a ticketing system to manage bug reports and feature requests?,No,
23,"Is your project's ticketing system publicly visible to your users, so they can view bug reports and feature requests?",No,
24,Is your software痴 architecture and design modular?,No,
25,Does your software use an accepted coding standard or convention?,No,
26,Does your software allow data to be imported and exported using open data formats?,No,
27,Does your software allow communications using open communications protocols?,Yes,
28,Is your software cross-platform compatible?,Yes,
29,Does your software adhere to appropriate accessibility conventions or standards?,No,
30,Does your documentation adhere to appropriate accessibility conventions or standards?,Yes,
31,Is your source code stored in a repository under revision control?,Yes,
32,Is each source code release a snapshot of the repository?,Yes,
33,Are releases tagged in the repository?,Yes,
34,"Is there a branch of the repository that is always stable? (i.e. tests always pass, code always builds successfully)",Yes,
35,Do you back-up your repository?,N/A,
36,Do you provide publicly-available instructions for building your software from the source code?,No,
37,"Can you build, or package, your software using an automated tool?",No,
38,Do you provide publicly-available instructions for deploying your software?,No,
39,Does your documentation list all third-party dependencies?,No,
40,Does your documentation list the version number for all third-party dependencies?,No,
41,"Does your software list the web address, and licences for all third-party dependencies and say whether the dependencies are mandatory or optional?",No,
42,Can you download dependencies using a dependency management tool or package manager?,Yes,
43,Do you have tests that can be run after your software has been built or deployed to show whether the build or deployment has been successful?,Yes,
44,Do you have an automated test suite for your software?,No,
45,Do you have a framework to periodically (e.g. nightly) run your tests on the latest version of the source code?,No,
46,"Do you use continuous integration, automatically running tests whenever changes are made to your source code?",No,
47,Are your test results publicly visible,No,
48,Are all manually-run tests documented?,No,
49,"Does your project have resources (e.g. blog, Twitter, RSS feed, Facebook page, wiki, mailing list) that are regularly updated with information about your software?",No,
50,Does your website state how many projects and users are associated with your project?,No,
51,Do you provide success stories on your website?,No,
52,Do you list your important partners and collaborators on your website?,No,
53,Do you list your project's publications on your website or link to a resource where these are available?,No,
54,Do you list third-party publications that refer to your software on your website or link to a resource where these are available?,No,
55,Can users subscribe to notifications to changes to your source code repository?,No,
56,"If your software is developed as an open source project (and, not just a project developing open source software), do you have a governance model?",No,
57,"Do you accept contributions (e.g. bug fixes, enhancements, documentation updates, tutorials) from people who are not part of your project?",No,
58,Do you have a contributions policy?,No,
59,Is your contributions' policy publicly available?,No,
60,Do https://github.com/NCSU-Group7-SE2021/slash/graphs/contributors keep the copyright/IP of their contributions?,No,
61,Does your website and documentation clearly state the copyright owners of your software and documentation?,No,
62,Does each of your source code files include a copyright statement?,No,
63,Does your website and documentation clearly state the licence of your software?,Yes,
64,Is your software released under an open source licence?,Yes,
65,Is your software released under an OSI-approved open-source licence?,Yes,
66,Does each of your source code files include a licence header?,No,
67,Do you have a recommended citation for your software?,No,
68,"Does your website or documentation include a project roadmap (a list of project and development milestones for the next 3, 6 and 12 months)?",Yes,
69,"Does your website or documentation describe how your project is funded, and the period over which funding is guaranteed?",No,
70,"Do you make timely announcements of the deprecation of components, APIs, etc.?",No,